ksp_type,pc_type,response,min1,min5,min15,proc
cgs,mg,10.125,36.44,37.48,48.8,2/3441
bcgs,mg,10.161,34.9,37.06,48.42,1/3441
tfqmr,mg,10.416,36.24,37.25,48.3,1/3444
cr,mg,6.8031,34.55,36.81,47.97,1/3444
gcr,mg,79.377,35.85,36.92,46.99,1/3441
cg,bjacobi,4.447,35.09,36.71,46.81,2/3441
gmres,bjacobi,74.39,38.66,37.36,46.19,2/3442
fcg,bjacobi,8.6118,37.82,37.22,46.0,1/3442
tcqmr,bjacobi,22.532,35.72,36.64,45.52,1/3443
cgs,bjacobi,7.5103,34.61,36.34,45.28,1/3441
bcgs,bjacobi,6.3969,33.39,35.96,45.01,1/3441
tfqmr,bjacobi,7.228,34.03,35.96,44.86,2/3441
cr,bjacobi,4.2538,33.55,35.78,44.71,3/3443
gcr,bjacobi,102.63,39.98,37.3,44.24,1/3440
cg,jacobi,7.3034,38.54,37.1,44.07,1/3441
gmres,jacobi,85.867,40.53,38.02,43.7,6/3440
fcg,jacobi,16.99,39.92,38.03,43.55,3/3442
tcqmr,jacobi,132.92,41.34,39.11,43.15,5/3440
cgs,jacobi,13.632,40.21,38.96,43.02,3/3441
bcgs,jacobi,12.035,39.28,38.8,42.87,3/3442
tfqmr,jacobi,14.933,38.87,38.7,42.75,2/3437
cr,jacobi,7.6065,36.51,38.17,42.51,1/3437
gcr,jacobi,116.28,40.82,38.97,42.23,1/3441
cg,sor,5.67,37.84,38.4,41.99,1/3442
gmres,sor,125.26,40.54,39.14,41.77,2/3440
fcg,sor,9.7402,37.88,38.63,41.55,4/3441
tcqmr,sor,88.697,40.29,39.2,41.46,1/3440
cgs,sor,10.263,39.3,39.02,41.36,1/3439
bcgs,sor,8.4236,35.75,38.26,41.07,3/3442
tfqmr,sor,9.3421,35.63,38.09,40.96,2/3440
cr,sor,5.8344,32.56,37.32,40.67,2/3442
gcr,sor,104.29,37.71,37.97,40.53,1/3439
cg,mg,6.4842,35.57,37.48,40.33,1/3440
gmres,mg,68.97,39.23,38.1,40.32,1/3438
fcg,mg,8.6495,38.33,37.94,40.23,3/3440
tcqmr,mg,24.684,35.88,37.45,39.99,1/3438
cgs,mg,9.6651,35.89,37.36,39.92,1/3441
bcgs,mg,10.223,35.44,37.17,39.81,1/3442
tfqmr,mg,9.7058,33.85,36.66,39.59,2/3442
cr,mg,6.5188,33.0,36.33,39.43,1/3441
gcr,mg,77.777,37.12,36.95,39.38,4/3439
cg,bjacobi,4.7975,36.17,36.74,39.29,2/3440
gmres,bjacobi,75.608,38.29,37.31,39.27,2/3448
fcg,bjacobi,8.0244,35.93,36.84,39.08,2/3448
tcqmr,bjacobi,21.441,33.78,36.3,38.83,3/3444
cgs,bjacobi,6.9551,33.94,36.24,38.79,3/3441
bcgs,bjacobi,6.9892,32.8,35.86,38.62,1/3443
tfqmr,bjacobi,7.4354,33.33,35.81,38.56,3/3443
cr,bjacobi,4.2742,30.7,35.12,38.29,3/3445
gcr,bjacobi,104.75,39.34,36.82,38.55,1/3444
cg,jacobi,7.1945,38.28,36.69,38.47,1/3442
gmres,jacobi,85.706,40.32,37.77,38.69,1/3438
fcg,jacobi,18.289,35.77,36.84,38.35,2/3442
