ksp_type,pc_type,response
gmres,mg,25.16
fcg,bjacobi,3.28
fcg,jacobi,6.35
fcg,sor,3.94
fcg,mg,3.73
tcqmr,bjacobi,13.89
tcqmr,jacobi,33.50
tcqmr,sor,9.96
tcqmr,mg,9.62
cgs,bjacobi,3.04
cgs,jacobi,5.59
cgs,sor,3.76
cgs,mg,4.18
bcgs,bjacobi,3.05
bcgs,jacobi,5.02
bcgs,sor,3.67
bcgs,mg,4.40
tfqmr,bjacobi,3.08
tfqmr,jacobi,5.83
tfqmr,sor,3.86
tfqmr,mg,4.32
cr,bjacobi,2.04
cr,jacobi,3.26
cr,sor,2.70
cr,mg,3.02
gcr,bjacobi,38.47
gcr,jacobi,42.19
gcr,sor,39.90
gcr,mg,29.39
cg,bjacobi,2.12
cg,jacobi,3.10
cg,sor,2.58
cg,mg,2.98
gmres,bjacobi,26.86
gmres,jacobi,31.54
gmres,sor,46.63
gmres,mg,25.17
fcg,bjacobi,3.32
fcg,jacobi,6.33
fcg,sor,3.91
fcg,mg,3.76
tcqmr,bjacobi,13.96
tcqmr,jacobi,33.65
tcqmr,sor,10.06
tcqmr,mg,9.45
cgs,bjacobi,3.04
cgs,jacobi,5.43
cgs,sor,3.73
cgs,mg,4.30
bcgs,bjacobi,3.02
bcgs,jacobi,4.89
bcgs,sor,3.63
bcgs,mg,4.32
tfqmr,bjacobi,3.06
tfqmr,jacobi,5.72
tfqmr,sor,3.89
tfqmr,mg,4.20
cr,bjacobi,2.07
cr,jacobi,3.24
cr,sor,2.67
cr,mg,3.08
gcr,bjacobi,38.59
gcr,jacobi,42.31
gcr,sor,40.00
gcr,mg,29.47
cg,bjacobi,2.21
cg,jacobi,3.14
cg,sor,2.54
cg,mg,3.08
gmres,bjacobi,26.94
gmres,jacobi,31.62
gmres,sor,46.60
gmres,mg,25.12
fcg,bjacobi,3.31
fcg,jacobi,6.34
fcg,sor,4.01
fcg,mg,3.71
tcqmr,bjacobi,13.89
tcqmr,jacobi,33.46
tcqmr,sor,10.07
tcqmr,mg,9.50
cgs,bjacobi,2.98
cgs,jacobi,5.52
cgs,sor,3.76
cgs,mg,4.22
bcgs,bjacobi,3.07
bcgs,jacobi,4.98
bcgs,sor,3.64
bcgs,mg,4.49
tfqmr,bjacobi,3.09
tfqmr,jacobi,5.84
tfqmr,sor,3.86
tfqmr,mg,4.22
cr,bjacobi,2.14
cr,jacobi,3.17
cr,sor,2.63
cr,mg,2.98
gcr,bjacobi,38.60
gcr,jacobi,42.30
gcr,sor,39.81
gcr,mg,29.38
