ksp_type,pc_type,response,min1,min5,min15,proc
bcgs,icc,74.096,97.8,99.72,100.0,82/3707
tfqmr,icc,83.13,99.21,99.51,99.89,87/3706
cr,icc,56.346,100.61,99.83,99.98,97/3705
gcr,icc,1089.6,2.53,9.4,43.94,1/3690
cg,jacobi,36.881,2.44,8.61,42.4,1/3691
gmres,jacobi,224.6,1.85,5.18,33.74,2/3697
fcg,jacobi,70.907,1.82,4.43,31.27,2/3695
tcqmr,jacobi,236.23,2.63,3.31,24.78,2/3695
cgs,jacobi,66.549,2.66,3.12,23.15,1/3615
bcgs,jacobi,54.944,1.91,2.84,21.89,2/3453
tfqmr,jacobi,63.775,1.45,2.52,20.5,2/3452
cr,jacobi,34.244,1.76,2.48,19.81,1/3451
gcr,jacobi,1319.7,2.87,2.75,6.84,1/3449
cg,sor,32.835,2.27,2.61,6.66,2/3448
gmres,sor,500.26,1.68,1.98,4.63,2/3449
fcg,sor,44.634,2.2,2.07,4.53,2/3448
tcqmr,sor,124.59,2.0,2.01,4.19,2/3451
cgs,sor,48.262,1.62,1.91,4.04,2/3453
bcgs,sor,49.498,2.3,2.05,3.98,1/3456
tfqmr,sor,46.954,2.07,2.03,3.88,1/3456
cr,sor,32.39,2.0,2.02,3.81,3/3454
gcr,sor,1400.9,2.27,2.44,2.81,1/3448
cg,mg,40.875,2.06,2.36,2.77,3/3448
gmres,mg,369.65,2.27,2.2,2.54,3/3453
fcg,mg,47.47,2.19,2.18,2.51,1/3452
tcqmr,mg,150.92,1.92,2.04,2.41,2/3453
cgs,mg,61.622,2.53,2.16,2.42,1/3451
bcgs,mg,60.145,2.45,2.23,2.43,2/3451
tfqmr,mg,58.662,2.34,2.23,2.42,1/3452
cr,mg,41.356,1.75,2.09,2.36,1/3452
gcr,mg,620.2,2.99,2.55,2.45,1/3449
cg,icc,28.249,2.84,2.54,2.45,1/3449
gmres,icc,338.09,1.85,2.04,2.23,1/3449
fcg,icc,38.238,2.12,2.08,2.24,2/3453
tcqmr,icc,105.76,1.87,2.0,2.19,1/3451
cgs,icc,44.358,1.6,1.9,2.15,3/3450
bcgs,icc,37.887,1.35,1.81,2.1,1/3451
tfqmr,icc,42.175,1.95,1.89,2.12,3/3455
cr,icc,24.745,1.88,1.89,2.11,1/3452
gcr,icc,996.77,2.29,2.4,2.34,2/3453
cg,jacobi,37.669,2.02,2.32,2.31,1/3451
gmres,jacobi,226.01,2.34,2.28,2.28,1/3450
fcg,jacobi,68.547,2.08,2.2,2.25,2/3449
tcqmr,jacobi,233.31,2.29,2.29,2.26,2/3449
cgs,jacobi,66.604,2.5,2.3,2.27,7/3450
bcgs,jacobi,56.066,1.66,2.1,2.2,2/3451
tfqmr,jacobi,63.792,2.55,2.26,2.25,3/3455
cr,jacobi,34.223,2.45,2.27,2.25,1/3452
gcr,jacobi,1321.6,2.8,2.91,2.7,1/3451
cg,sor,34.008,2.65,2.87,2.7,2/3451
gmres,sor,500.22,2.68,2.43,2.48,1/3455
fcg,sor,45.751,2.22,2.35,2.45,1/3456
tcqmr,sor,129.22,2.68,2.37,2.44,1/3455
cgs,sor,49.873,2.52,2.39,2.44,3/3454
bcgs,sor,48.503,3.18,2.51,2.48,3/3453
tfqmr,sor,47.92,2.27,2.36,2.43,2/3455
cr,sor,33.093,2.17,2.32,2.41,1/3454
gcr,sor,1401.0,3.0,2.74,2.64,6/3450
cg,mg,42.093,2.22,2.56,2.58,1/3449
gmres,mg,370.49,2.12,2.17,2.38,3/3450
fcg,mg,47.593,1.75,2.05,2.33,7/3450
tcqmr,mg,150.91,1.92,2.03,2.28,1/3451
cgs,mg,60.131,2.91,2.37,2.38,1/3451
bcgs,mg,60.393,2.19,2.27,2.34,1/3451
tfqmr,mg,60.964,2.08,2.21,2.31,2/3449
cr,mg,40.335,3.23,2.55,2.43,2/3450
gcr,mg,618.86,2.67,2.58,2.49,4/3450
cg,icc,27.497,2.37,2.52,2.47,2/3449
gmres,icc,342.02,1.83,2.12,2.31,7/3450
fcg,icc,39.116,1.76,2.06,2.28,2/3453
tcqmr,icc,105.83,1.94,2.07,2.26,1/3450
cgs,icc,43.974,2.05,2.08,2.25,2/3450
bcgs,icc,39.042,2.67,2.2,2.28,2/3449
tfqmr,icc,43.197,2.13,2.14,2.26,2/3449
cr,icc,24.745,2.33,2.17,2.27,2/3449
gcr,icc,1000.5,2.53,2.55,2.44,5/3449
cg,jacobi,36.677,2.62,2.56,2.45,1/3447
gmres,jacobi,226.75,1.6,2.16,2.31,1/3450
fcg,jacobi,68.511,1.64,2.1,2.28,1/3449
tcqmr,jacobi,233.63,1.55,1.87,2.15,4/3453
cgs,jacobi,66.033,2.19,1.98,2.16,1/3451
bcgs,jacobi,56.323,2.12,1.98,2.15,3/3453
tfqmr,jacobi,63.624,1.79,1.91,2.11,1/3448
cr,jacobi,35.081,1.76,1.89,2.1,2/3451
gcr,jacobi,1315.8,2.76,2.91,2.73,1/3448
cg,sor,33.912,2.28,2.78,2.7,2/3450
gmres,sor,503.24,2.7,2.43,2.51,1/3452
fcg,sor,46.284,2.58,2.45,2.52,2/3451
tcqmr,sor,124.73,2.59,2.59,2.56,3/3452
cgs,sor,48.199,1.93,2.41,2.5,7/3453
bcgs,sor,50.148,1.57,2.23,2.44,1/3452
tfqmr,sor,46.401,1.7,2.17,2.4,1/3449
cr,sor,33.024,1.61,2.09,2.37,4/3454
gcr,sor,1403.7,2.46,2.6,2.55,2/3448
cg,mg,41.02,2.17,2.51,2.52,1/3449
gmres,mg,369.29,1.79,2.02,2.28,1/3450
fcg,mg,49.041,1.9,2.01,2.26,1/3452
tcqmr,mg,155.28,1.66,1.89,2.18,1/3452
cgs,mg,60.362,1.68,1.85,2.14,1/3451
bcgs,mg,61.304,1.84,1.88,2.13,1/3448
tfqmr,mg,58.958,1.67,1.84,2.1,2/3448
cr,mg,41.339,2.26,1.97,2.13,2/3449
gcr,mg,616.23,2.39,2.44,2.33,3/3449
cg,icc,27.619,2.22,2.4,2.32,2/3449
gmres,icc,343.18,1.82,2.04,2.18,4/3450
fcg,icc,39.25,1.89,2.02,2.16,3/3450
tcqmr,icc,106.4,1.96,1.97,2.12,1/3451
cgs,icc,43.151,1.9,1.94,2.1,2/3451
bcgs,icc,38.876,2.83,2.17,2.17,1/3452
tfqmr,icc,42.385,2.2,2.09,2.14,1/3450
cr,icc,25.047,1.87,2.01,2.12,1/3451
gcr,icc,1006.7,2.32,2.39,2.3,2/3447
cg,jacobi,37.69,1.87,2.26,2.26,1/3448
gmres,jacobi,224.17,2.59,2.45,2.35,2/3449
fcg,jacobi,68.594,2.07,2.33,2.31,1/3450
tcqmr,jacobi,228.1,1.73,2.01,2.18,3/3451
cgs,jacobi,66.09,2.27,2.1,2.2,2/3451
bcgs,jacobi,54.874,1.8,2.01,2.16,2/3453
tfqmr,jacobi,64.355,1.44,1.85,2.09,2/3448
cr,jacobi,34.495,1.87,1.91,2.1,2/3448
gcr,jacobi,1323.7,2.74,2.69,2.57,1/3449
cg,sor,32.789,2.21,2.57,2.53,1/3451
gmres,sor,502.59,1.76,2.15,2.34,1/3450
fcg,sor,44.72,1.6,2.05,2.29,2/3450
tcqmr,sor,126.56,1.72,1.88,2.19,6/3450
cgs,sor,48.104,1.72,1.87,2.17,1/3449
bcgs,sor,48.431,1.74,1.84,2.14,1/3449
tfqmr,sor,47.762,1.96,1.87,2.14,1/3449
cr,sor,32.966,1.76,1.83,2.11,3/3453
gcr,sor,1389.5,3.2,2.83,2.64,1/3448
cg,mg,40.871,2.42,2.68,2.59,1/3449
gmres,mg,368.58,1.81,2.19,2.41,2/3450
fcg,mg,47.47,1.83,2.13,2.37,3/3450
tcqmr,mg,153.14,2.04,2.11,2.33,2/3452
cgs,mg,61.932,2.23,2.16,2.33,1/3450
bcgs,mg,60.156,2.0,2.12,2.31,3/3459
tfqmr,mg,58.669,2.21,2.15,2.3,1/3464
cr,mg,39.85,2.19,2.17,2.3,1/3460
gcr,mg,618.48,2.66,2.45,2.36,1/3451
cg,icc,28.315,2.45,2.41,2.35,1/3451
gmres,icc,336.18,1.79,1.99,2.17,1/3451
fcg,icc,39.13,2.05,2.02,2.18,2/3451
tcqmr,icc,102.69,1.7,1.91,2.12,2/3447
cgs,icc,42.956,1.69,1.88,2.1,2/3449
bcgs,icc,37.997,1.87,1.91,2.09,1/3449
tfqmr,icc,42.069,1.58,1.83,2.06,1/3451
cr,icc,25.197,1.84,1.87,2.07,2/3449
gcr,icc,999.9,3.15,2.91,2.57,3/3452
cg,jacobi,37.238,2.84,2.86,2.57,1/3452
gmres,jacobi,227.46,1.69,2.38,2.44,2/3452
fcg,jacobi,70.046,1.83,2.27,2.4,1/3453
tcqmr,jacobi,233.71,1.57,1.95,2.23,1/3449
cgs,jacobi,66.994,1.68,1.9,2.19,1/3450
bcgs,jacobi,56.131,1.83,1.91,2.18,2/3451
tfqmr,jacobi,63.754,1.7,1.89,2.15,1/3450
cr,jacobi,34.271,1.64,1.86,2.13,2/3450
gcr,jacobi,1321.6,2.87,2.96,2.79,4/3450
cg,sor,32.795,2.41,2.85,2.76,1/3450
gmres,sor,494.17,2.05,2.17,2.47,2/3448
fcg,sor,44.84,1.63,2.03,2.4,2/3448
tcqmr,sor,125.6,2.37,2.1,2.37,2/3449
cgs,sor,49.505,1.87,2.01,2.33,6/3452
bcgs,sor,50.53,1.53,1.9,2.27,2/3450
tfqmr,sor,47.843,1.45,1.82,2.22,1/3451
cr,sor,31.9,1.48,1.79,2.2,1/3451
gcr,sor,1402.9,2.49,2.58,2.49,2/3447
cg,mg,40.702,3.42,2.77,2.55,3/3448
gmres,mg,371.8,1.77,2.1,2.3,1/3448
fcg,mg,47.96,1.62,2.01,2.26,2/3448
